##############################################################
# 
# File created using NPL-RPi-Lepton LeptonReadPy.py
# Based on pylepton https://github.com/groupgets/pylepton.git
# 
# File created:	18-01-2017	14:43:59.167
# 
# Image Cols:	160
# Image Rows:	120
# 
# Column headers:
# Row	Column	Signal
# 
##############################################################
000	000	008075
000	001	008073
000	002	008072
000	003	008073
000	004	008074
000	005	008073
000	006	008075
000	007	008073
000	008	008072
000	009	008076
000	010	008072
000	011	008074
000	012	008068
000	013	008074
000	014	008073
000	015	008072
000	016	008070
000	017	008070
000	018	008065
000	019	008065
000	020	008072
000	021	008070
000	022	008065
000	023	008068
000	024	008068
000	025	008067
000	026	008071
000	027	008070
000	028	008069
000	029	008068
000	030	008064
000	031	008068
000	032	008070
000	033	008067
000	034	008068
000	035	008069
000	036	008068
000	037	008066
000	038	008065
000	039	008072
000	040	008067
000	041	008069
000	042	008066
000	043	008072
000	044	008070
000	045	008069
000	046	008069
000	047	008069
000	048	008064
000	049	008066
000	050	008067
000	051	008066
000	052	008068
000	053	008068
000	054	008066
000	055	008064
000	056	008068
000	057	008068
000	058	008071
000	059	008072
000	060	008068
000	061	008065
000	062	008063
000	063	008069
000	064	008065
000	065	008067
000	066	008065
000	067	008064
000	068	008064
000	069	008065
000	070	008066
000	071	008067
000	072	008067
000	073	008068
000	074	008068
000	075	008071
000	076	008064
000	077	008064
000	078	008061
000	079	008066
000	080	008065
000	081	008064
000	082	008069
000	083	008069
000	084	008067
000	085	008067
000	086	008069
000	087	008066
000	088	008064
000	089	008066
000	090	008067
000	091	008067
000	092	008065
000	093	008064
000	094	008064
000	095	008066
000	096	008064
000	097	008067
000	098	008064
000	099	008065
000	100	008068
000	101	008062
000	102	008066
000	103	008066
000	104	008067
000	105	008063
000	106	008063
000	107	008063
000	108	008064
000	109	008066
000	110	008062
000	111	008064
000	112	008066
000	113	008063
000	114	008062
000	115	008064
000	116	008061
000	117	008066
000	118	008066
000	119	008063
000	120	008065
000	121	008064
000	122	008064
000	123	008064
